#m_a [GeV]  T_R [GeV]  Omega h^2
8.318e-04  5.248e-02  2.601e+02  
9.120e-04  5.248e-02  2.849e+02  
1.000e-03  5.248e-02  3.121e+02  
1.096e-03  5.248e-02  3.419e+02  
1.202e-03  5.248e-02  3.745e+02  
1.318e-03  5.248e-02  4.101e+02  
1.445e-03  5.248e-02  4.491e+02  
1.585e-03  5.248e-02  4.917e+02  
1.738e-03  5.248e-02  5.382e+02  
1.905e-03  5.248e-02  5.891e+02  
2.089e-03  5.248e-02  6.447e+02  
2.291e-03  5.248e-02  7.054e+02  
2.512e-03  5.248e-02  7.717e+02  
2.754e-03  5.248e-02  8.441e+02  
3.020e-03  5.248e-02  9.230e+02  
3.311e-03  5.248e-02  1.009e+03  
3.631e-03  5.248e-02  1.103e+03  
3.981e-03  5.248e-02  1.205e+03  
4.365e-03  5.248e-02  1.316e+03  
4.786e-03  5.248e-02  1.436e+03  
5.248e-03  5.248e-02  1.567e+03  
5.754e-03  5.248e-02  1.710e+03  
6.310e-03  5.248e-02  1.864e+03  
6.918e-03  5.248e-02  2.030e+03  
7.586e-03  5.248e-02  2.210e+03  
8.318e-03  5.248e-02  2.405e+03  
9.120e-03  5.248e-02  2.614e+03  
1.000e-02  5.248e-02  2.839e+03  
1.096e-02  5.248e-02  3.080e+03  
1.202e-02  5.248e-02  3.338e+03  
1.318e-02  5.248e-02  3.613e+03  
1.445e-02  5.248e-02  3.905e+03  
1.585e-02  5.248e-02  4.215e+03  
1.738e-02  5.248e-02  4.540e+03  
1.905e-02  5.248e-02  4.881e+03  
2.089e-02  5.248e-02  5.236e+03  
2.291e-02  5.248e-02  5.604e+03  
2.512e-02  5.248e-02  5.982e+03  
2.754e-02  5.248e-02  6.367e+03  
3.020e-02  5.248e-02  6.755e+03  
3.311e-02  5.248e-02  7.141e+03  
3.631e-02  5.248e-02  7.520e+03  
3.981e-02  5.248e-02  7.886e+03  
4.365e-02  5.248e-02  8.232e+03  
4.786e-02  5.248e-02  8.549e+03  
5.248e-02  5.248e-02  8.829e+03  
5.754e-02  5.248e-02  9.063e+03  
6.310e-02  5.248e-02  9.244e+03  
6.918e-02  5.248e-02  9.360e+03  
7.586e-02  5.248e-02  9.403e+03  
8.318e-02  5.248e-02  9.366e+03  
9.120e-02  5.248e-02  9.242e+03  
1.000e-01  5.248e-02  9.025e+03  
1.096e-01  5.248e-02  8.714e+03  
1.202e-01  5.248e-02  8.308e+03  
1.318e-01  5.248e-02  7.812e+03  
1.445e-01  5.248e-02  7.233e+03  
1.585e-01  5.248e-02  6.582e+03  
1.738e-01  5.248e-02  5.877e+03  
1.905e-01  5.248e-02  5.136e+03  
2.089e-01  5.248e-02  4.382e+03  
2.291e-01  5.248e-02  3.641e+03  
2.512e-01  5.248e-02  2.937e+03  
2.754e-01  5.248e-02  2.292e+03  
3.020e-01  5.248e-02  1.723e+03  
3.311e-01  5.248e-02  1.243e+03  
3.631e-01  5.248e-02  8.561e+02  
3.981e-01  5.248e-02  5.599e+02  
4.365e-01  5.248e-02  3.456e+02  
4.786e-01  5.248e-02  2.001e+02  
5.248e-01  5.248e-02  1.079e+02  
5.754e-01  5.248e-02  5.374e+01  
6.310e-01  5.248e-02  2.452e+01  
6.918e-01  5.248e-02  1.015e+01  
7.586e-01  5.248e-02  3.776e+00  
8.318e-01  5.248e-02  1.248e+00  
9.120e-01  5.248e-02  3.622e-01  
1.000e+00  5.248e-02  9.124e-02  
1.000e-04  5.754e-02  3.463e+01  
1.096e-04  5.754e-02  3.797e+01  
1.202e-04  5.754e-02  4.163e+01  
1.318e-04  5.754e-02  4.565e+01  
1.445e-04  5.754e-02  5.005e+01  
1.585e-04  5.754e-02  5.487e+01  
1.738e-04  5.754e-02  6.015e+01  
1.905e-04  5.754e-02  6.595e+01  
2.089e-04  5.754e-02  7.230e+01  
2.291e-04  5.754e-02  7.926e+01  
2.512e-04  5.754e-02  8.689e+01  
2.754e-04  5.754e-02  9.525e+01  
3.020e-04  5.754e-02  1.044e+02  
3.311e-04  5.754e-02  1.145e+02  
3.631e-04  5.754e-02  1.255e+02  
3.981e-04  5.754e-02  1.375e+02  
4.365e-04  5.754e-02  1.507e+02  
4.786e-04  5.754e-02  1.652e+02  
5.248e-04  5.754e-02  1.810e+02  
5.754e-04  5.754e-02  1.984e+02  
6.310e-04  5.754e-02  2.174e+02  
6.918e-04  5.754e-02  2.382e+02  
7.586e-04  5.754e-02  2.611e+02  
8.318e-04  5.754e-02  2.860e+02  
9.120e-04  5.754e-02  3.134e+02  
1.000e-03  5.754e-02  3.433e+02  
1.096e-03  5.754e-02  3.761e+02  
1.202e-03  5.754e-02  4.119e+02  
1.318e-03  5.754e-02  4.512e+02  
1.445e-03  5.754e-02  4.941e+02  
1.585e-03  5.754e-02  5.411e+02  
1.738e-03  5.754e-02  5.924e+02  
1.905e-03  5.754e-02  6.485e+02  
2.089e-03  5.754e-02  7.098e+02  
2.291e-03  5.754e-02  7.768e+02  
2.512e-03  5.754e-02  8.500e+02  
2.754e-03  5.754e-02  9.299e+02  
3.020e-03  5.754e-02  1.017e+03  
3.311e-03  5.754e-02  1.112e+03  
3.631e-03  5.754e-02  1.216e+03  
3.981e-03  5.754e-02  1.329e+03  
4.365e-03  5.754e-02  1.452e+03  
4.786e-03  5.754e-02  1.585e+03  
5.248e-03  5.754e-02  1.731e+03  
5.754e-03  5.754e-02  1.889e+03  
6.310e-03  5.754e-02  2.060e+03  
6.918e-03  5.754e-02  2.246e+03  
7.586e-03  5.754e-02  2.446e+03  
8.318e-03  5.754e-02  2.663e+03  
9.120e-03  5.754e-02  2.897e+03  
1.000e-02  5.754e-02  3.150e+03  
1.096e-02  5.754e-02  3.420e+03  
1.202e-02  5.754e-02  3.711e+03  
1.318e-02  5.754e-02  4.021e+03  
1.445e-02  5.754e-02  4.351e+03  
1.585e-02  5.754e-02  4.701e+03  
1.738e-02  5.754e-02  5.072e+03  
1.905e-02  5.754e-02  5.463e+03  
2.089e-02  5.754e-02  5.872e+03  
2.291e-02  5.754e-02  6.298e+03  
2.512e-02  5.754e-02  6.738e+03  
2.754e-02  5.754e-02  7.190e+03  
3.020e-02  5.754e-02  7.648e+03  
3.311e-02  5.754e-02  8.110e+03  
3.631e-02  5.754e-02  8.569e+03  
3.981e-02  5.754e-02  9.018e+03  
4.365e-02  5.754e-02  9.451e+03  
4.786e-02  5.754e-02  9.858e+03  
5.248e-02  5.754e-02  1.023e+04  
5.754e-02  5.754e-02  1.056e+04  
6.310e-02  5.754e-02  1.083e+04  
6.918e-02  5.754e-02  1.103e+04  
7.586e-02  5.754e-02  1.116e+04  
8.318e-02  5.754e-02  1.120e+04  
9.120e-02  5.754e-02  1.115e+04  
1.000e-01  5.754e-02  1.099e+04  
1.096e-01  5.754e-02  1.072e+04  
1.202e-01  5.754e-02  1.034e+04  
1.318e-01  5.754e-02  9.844e+03  
1.445e-01  5.754e-02  9.246e+03  
1.585e-01  5.754e-02  8.551e+03  
1.738e-01  5.754e-02  7.773e+03  
1.905e-01  5.754e-02  6.932e+03  
2.089e-01  5.754e-02  6.052e+03  
2.291e-01  5.754e-02  5.159e+03  
2.512e-01  5.754e-02  4.284e+03  
2.754e-01  5.754e-02  3.453e+03  
3.020e-01  5.754e-02  2.693e+03  
3.311e-01  5.754e-02  2.024e+03  
3.631e-01  5.754e-02  1.459e+03  
3.981e-01  5.754e-02  1.004e+03  
4.365e-01  5.754e-02  6.567e+02  
4.786e-01  5.754e-02  4.053e+02  
5.248e-01  5.754e-02  2.346e+02  
5.754e-01  5.754e-02  1.264e+02  
6.310e-01  5.754e-02  6.297e+01  
6.918e-01  5.754e-02  2.873e+01  
7.586e-01  5.754e-02  1.189e+01  
8.318e-01  5.754e-02  4.424e+00  
9.120e-01  5.754e-02  1.462e+00  
1.000e+00  5.754e-02  4.242e-01  
1.000e-04  6.310e-02  3.803e+01  
1.096e-04  6.310e-02  4.170e+01  
1.202e-04  6.310e-02  4.572e+01  
1.318e-04  6.310e-02  5.013e+01  
1.445e-04  6.310e-02  5.496e+01  
1.585e-04  6.310e-02  6.025e+01  
1.738e-04  6.310e-02  6.606e+01  
1.905e-04  6.310e-02  7.242e+01  
2.089e-04  6.310e-02  7.940e+01  
2.291e-04  6.310e-02  8.704e+01  
2.512e-04  6.310e-02  9.542e+01  
2.754e-04  6.310e-02  1.046e+02  
3.020e-04  6.310e-02  1.147e+02  
3.311e-04  6.310e-02  1.257e+02  
3.631e-04  6.310e-02  1.378e+02  
3.981e-04  6.310e-02  1.510e+02  
4.365e-04  6.310e-02  1.655e+02  
4.786e-04  6.310e-02  1.815e+02  
5.248e-04  6.310e-02  1.989e+02  
5.754e-04  6.310e-02  2.180e+02  
6.310e-04  6.310e-02  2.389e+02  
6.918e-04  6.310e-02  2.618e+02  
7.586e-04  6.310e-02  2.868e+02  
8.318e-04  6.310e-02  3.143e+02  
9.120e-04  6.310e-02  3.444e+02  
1.000e-03  6.310e-02  3.773e+02  
1.096e-03  6.310e-02  4.134e+02  
1.202e-03  6.310e-02  4.528e+02  
1.318e-03  6.310e-02  4.960e+02  
1.445e-03  6.310e-02  5.432e+02  
1.585e-03  6.310e-02  5.949e+02  
1.738e-03  6.310e-02  6.514e+02  
1.905e-03  6.310e-02  7.133e+02  
2.089e-03  6.310e-02  7.809e+02  
2.291e-03  6.310e-02  8.547e+02  
2.512e-03  6.310e-02  9.354e+02  
2.754e-03  6.310e-02  1.024e+03  
3.020e-03  6.310e-02  1.120e+03  
3.311e-03  6.310e-02  1.225e+03  
3.631e-03  6.310e-02  1.339e+03  
3.981e-03  6.310e-02  1.464e+03  
4.365e-03  6.310e-02  1.600e+03  
4.786e-03  6.310e-02  1.748e+03  
5.248e-03  6.310e-02  1.909e+03  
5.754e-03  6.310e-02  2.084e+03  
6.310e-03  6.310e-02  2.274e+03  
6.918e-03  6.310e-02  2.480e+03  
7.586e-03  6.310e-02  2.704e+03  
8.318e-03  6.310e-02  2.945e+03  
9.120e-03  6.310e-02  3.206e+03  
1.000e-02  6.310e-02  3.488e+03  
1.096e-02  6.310e-02  3.791e+03  
1.202e-02  6.310e-02  4.117e+03  
1.318e-02  6.310e-02  4.465e+03  
1.445e-02  6.310e-02  4.838e+03  
1.585e-02  6.310e-02  5.235e+03  
1.738e-02  6.310e-02  5.656e+03  
1.905e-02  6.310e-02  6.100e+03  
2.089e-02  6.310e-02  6.568e+03  
2.291e-02  6.310e-02  7.058e+03  
2.512e-02  6.310e-02  7.567e+03  
2.754e-02  6.310e-02  8.093e+03  
3.020e-02  6.310e-02  8.632e+03  
3.311e-02  6.310e-02  9.179e+03  
3.631e-02  6.310e-02  9.728e+03  
3.981e-02  6.310e-02  1.027e+04  
4.365e-02  6.310e-02  1.081e+04  
4.786e-02  6.310e-02  1.132e+04  
5.248e-02  6.310e-02  1.180e+04  
5.754e-02  6.310e-02  1.223e+04  
6.310e-02  6.310e-02  1.261e+04  
6.918e-02  6.310e-02  1.293e+04  
7.586e-02  6.310e-02  1.316e+04  
8.318e-02  6.310e-02  1.330e+04  
9.120e-02  6.310e-02  1.334e+04  
1.000e-01  6.310e-02  1.326e+04  
1.096e-01  6.310e-02  1.306e+04  
1.202e-01  6.310e-02  1.273e+04  
1.318e-01  6.310e-02  1.226e+04  
1.445e-01  6.310e-02  1.167e+04  
1.585e-01  6.310e-02  1.095e+04  
1.738e-01  6.310e-02  1.012e+04  
1.905e-01  6.310e-02  9.188e+03  
2.089e-01  6.310e-02  8.187e+03  
2.291e-01  6.310e-02  7.142e+03  
2.512e-01  6.310e-02  6.085e+03  
2.754e-01  6.310e-02  5.049e+03  
3.020e-01  6.310e-02  4.068e+03  
3.311e-01  6.310e-02  3.171e+03  
3.631e-01  6.310e-02  2.382e+03  
3.981e-01  6.310e-02  1.717e+03  
4.365e-01  6.310e-02  1.182e+03  
4.786e-01  6.310e-02  7.723e+02  
5.248e-01  6.310e-02  4.766e+02  
5.754e-01  6.310e-02  2.758e+02  
6.310e-01  6.310e-02  1.486e+02  
6.918e-01  6.310e-02  7.401e+01  
7.586e-01  6.310e-02  3.375e+01  
8.318e-01  6.310e-02  1.398e+01  
9.120e-01  6.310e-02  5.198e+00  
1.000e+00  6.310e-02  1.718e+00  
1.000e-04  6.918e-02  4.174e+01  
1.096e-04  6.918e-02  4.576e+01  
1.202e-04  6.918e-02  5.018e+01  
1.318e-04  6.918e-02  5.501e+01  
1.445e-04  6.918e-02  6.032e+01  
1.585e-04  6.918e-02  6.613e+01  
1.738e-04  6.918e-02  7.250e+01  
1.905e-04  6.918e-02  7.949e+01  
2.089e-04  6.918e-02  8.714e+01  
2.291e-04  6.918e-02  9.554e+01  
2.512e-04  6.918e-02  1.047e+02  
2.754e-04  6.918e-02  1.148e+02  
3.020e-04  6.918e-02  1.259e+02  
3.311e-04  6.918e-02  1.380e+02  
3.631e-04  6.918e-02  1.512e+02  
3.981e-04  6.918e-02  1.658e+02  
4.365e-04  6.918e-02  1.817e+02  
4.786e-04  6.918e-02  1.992e+02  
5.248e-04  6.918e-02  2.183e+02  
5.754e-04  6.918e-02  2.393e+02  
6.310e-04  6.918e-02  2.622e+02  
6.918e-04  6.918e-02  2.874e+02  
7.586e-04  6.918e-02  3.150e+02  
8.318e-04  6.918e-02  3.451e+02  
9.120e-04  6.918e-02  3.782e+02  
1.000e-03  6.918e-02  4.144e+02  
1.096e-03  6.918e-02  4.540e+02  
1.202e-03  6.918e-02  4.973e+02  
1.318e-03  6.918e-02  5.448e+02  
1.445e-03  6.918e-02  5.968e+02  
1.585e-03  6.918e-02  6.537e+02  
1.738e-03  6.918e-02  7.158e+02  
1.905e-03  6.918e-02  7.839e+02  
2.089e-03  6.918e-02  8.582e+02  
2.291e-03  6.918e-02  9.395e+02  
2.512e-03  6.918e-02  1.028e+03  
2.754e-03  6.918e-02  1.126e+03  
3.020e-03  6.918e-02  1.232e+03  
3.311e-03  6.918e-02  1.347e+03  
3.631e-03  6.918e-02  1.474e+03  
3.981e-03  6.918e-02  1.611e+03  
4.365e-03  6.918e-02  1.762e+03  
4.786e-03  6.918e-02  1.925e+03  
5.248e-03  6.918e-02  2.103e+03  
5.754e-03  6.918e-02  2.297e+03  
6.310e-03  6.918e-02  2.508e+03  
6.918e-03  6.918e-02  2.736e+03  
7.586e-03  6.918e-02  2.984e+03  
8.318e-03  6.918e-02  3.253e+03  
9.120e-03  6.918e-02  3.543e+03  
1.000e-02  6.918e-02  3.857e+03  
1.096e-02  6.918e-02  4.196e+03  
1.202e-02  6.918e-02  4.560e+03  
1.318e-02  6.918e-02  4.951e+03  
1.445e-02  6.918e-02  5.369e+03  
1.585e-02  6.918e-02  5.817e+03  
1.738e-02  6.918e-02  6.293e+03  
1.905e-02  6.918e-02  6.798e+03  
2.089e-02  6.918e-02  7.331e+03  
2.291e-02  6.918e-02  7.891e+03  
2.512e-02  6.918e-02  8.476e+03  
2.754e-02  6.918e-02  9.084e+03  
3.020e-02  6.918e-02  9.711e+03  
3.311e-02  6.918e-02  1.035e+04  
3.631e-02  6.918e-02  1.101e+04  
3.981e-02  6.918e-02  1.166e+04  
4.365e-02  6.918e-02  1.231e+04  
4.786e-02  6.918e-02  1.294e+04  
5.248e-02  6.918e-02  1.354e+04  
5.754e-02  6.918e-02  1.411e+04  
6.310e-02  6.918e-02  1.462e+04  
6.918e-02  6.918e-02  1.506e+04  
7.586e-02  6.918e-02  1.543e+04  
8.318e-02  6.918e-02  1.570e+04  
9.120e-02  6.918e-02  1.586e+04  
1.000e-01  6.918e-02  1.589e+04  
1.096e-01  6.918e-02  1.578e+04  
1.202e-01  6.918e-02  1.553e+04  
1.318e-01  6.918e-02  1.513e+04  
1.445e-01  6.918e-02  1.456e+04  
1.585e-01  6.918e-02  1.385e+04  
1.738e-01  6.918e-02  1.298e+04  
1.905e-01  6.918e-02  1.198e+04  
2.089e-01  6.918e-02  1.088e+04  
2.291e-01  6.918e-02  9.686e+03  
2.512e-01  6.918e-02  8.445e+03  
2.754e-01  6.918e-02  7.192e+03  
3.020e-01  6.918e-02  5.966e+03  
3.311e-01  6.918e-02  4.805e+03  
3.631e-01  6.918e-02  3.745e+03  
3.981e-01  6.918e-02  2.812e+03  
4.365e-01  6.918e-02  2.027e+03  
4.786e-01  6.918e-02  1.394e+03  
5.248e-01  6.918e-02  9.113e+02  
5.754e-01  6.918e-02  5.622e+02  
6.310e-01  6.918e-02  3.253e+02  
6.918e-01  6.918e-02  1.753e+02  
7.586e-01  6.918e-02  8.727e+01  
8.318e-01  6.918e-02  3.981e+01  
9.120e-01  6.918e-02  1.648e+01  
1.000e+00  6.918e-02  6.129e+00  
1.000e-04  7.586e-02  4.577e+01  
1.096e-04  7.586e-02  5.019e+01  
1.202e-04  7.586e-02  5.503e+01  
1.318e-04  7.586e-02  6.033e+01  
1.445e-04  7.586e-02  6.615e+01  
1.585e-04  7.586e-02  7.252e+01  
1.738e-04  7.586e-02  7.951e+01  
1.905e-04  7.586e-02  8.717e+01  
2.089e-04  7.586e-02  9.557e+01  
2.291e-04  7.586e-02  1.048e+02  
2.512e-04  7.586e-02  1.149e+02  
2.754e-04  7.586e-02  1.259e+02  
3.020e-04  7.586e-02  1.381e+02  
3.311e-04  7.586e-02  1.513e+02  
3.631e-04  7.586e-02  1.659e+02  
3.981e-04  7.586e-02  1.819e+02  
4.365e-04  7.586e-02  1.993e+02  
4.786e-04  7.586e-02  2.185e+02  
5.248e-04  7.586e-02  2.395e+02  
5.754e-04  7.586e-02  2.625e+02  
6.310e-04  7.586e-02  2.877e+02  
6.918e-04  7.586e-02  3.153e+02  
7.586e-04  7.586e-02  3.456e+02  
8.318e-04  7.586e-02  3.787e+02  
9.120e-04  7.586e-02  4.150e+02  
1.000e-03  7.586e-02  4.547e+02  
1.096e-03  7.586e-02  4.982e+02  
1.202e-03  7.586e-02  5.459e+02  
1.318e-03  7.586e-02  5.980e+02  
1.445e-03  7.586e-02  6.551e+02  
1.585e-03  7.586e-02  7.203e+02  
1.738e-03  7.586e-02  7.859e+02  
1.905e-03  7.586e-02  8.607e+02  
2.089e-03  7.586e-02  9.427e+02  
2.291e-03  7.586e-02  1.032e+03  
2.512e-03  7.586e-02  1.130e+03  
2.754e-03  7.586e-02  1.237e+03  
3.020e-03  7.586e-02  1.353e+03  
3.311e-03  7.586e-02  1.481e+03  
3.631e-03  7.586e-02  1.620e+03  
3.981e-03  7.586e-02  1.772e+03  
4.365e-03  7.586e-02  1.938e+03  
4.786e-03  7.586e-02  2.118e+03  
5.248e-03  7.586e-02  2.315e+03  
5.754e-03  7.586e-02  2.529e+03  
6.310e-03  7.586e-02  2.762e+03  
6.918e-03  7.586e-02  3.015e+03  
7.586e-03  7.586e-02  3.290e+03  
8.318e-03  7.586e-02  3.588e+03  
9.120e-03  7.586e-02  3.911e+03  
1.000e-02  7.586e-02  4.260e+03  
1.096e-02  7.586e-02  4.637e+03  
1.202e-02  7.586e-02  5.043e+03  
1.318e-02  7.586e-02  5.481e+03  
1.445e-02  7.586e-02  5.950e+03  
1.585e-02  7.586e-02  6.452e+03  
1.738e-02  7.586e-02  6.988e+03  
1.905e-02  7.586e-02  7.558e+03  
2.089e-02  7.586e-02  8.162e+03  
2.291e-02  7.586e-02  8.801e+03  
2.512e-02  7.586e-02  9.470e+03  
2.754e-02  7.586e-02  1.017e+04  
3.020e-02  7.586e-02  1.090e+04  
3.311e-02  7.586e-02  1.164e+04  
3.631e-02  7.586e-02  1.241e+04  
3.981e-02  7.586e-02  1.319e+04  
4.365e-02  7.586e-02  1.396e+04  
4.786e-02  7.586e-02  1.473e+04  
5.248e-02  7.586e-02  1.548e+04  
5.754e-02  7.586e-02  1.619e+04  
6.310e-02  7.586e-02  1.686e+04  
6.918e-02  7.586e-02  1.746e+04  
7.586e-02  7.586e-02  1.799e+04  
8.318e-02  7.586e-02  1.841e+04  
9.120e-02  7.586e-02  1.872e+04  
1.000e-01  7.586e-02  1.890e+04  
1.096e-01  7.586e-02  1.893e+04  
1.202e-01  7.586e-02  1.879e+04  
1.318e-01  7.586e-02  1.848e+04  
1.445e-01  7.586e-02  1.799e+04  
1.585e-01  7.586e-02  1.731e+04  
1.738e-01  7.586e-02  1.645e+04  
1.905e-01  7.586e-02  1.541e+04  
2.089e-01  7.586e-02  1.422e+04  
2.291e-01  7.586e-02  1.290e+04  
2.512e-01  7.586e-02  1.148e+04  
2.754e-01  7.586e-02  1.001e+04  
3.020e-01  7.586e-02  8.523e+03  
3.311e-01  7.586e-02  7.068e+03  
3.631e-01  7.586e-02  5.692e+03  
3.981e-01  7.586e-02  4.435e+03  
4.365e-01  7.586e-02  3.330e+03  
4.786e-01  7.586e-02  2.400e+03  
5.248e-01  7.586e-02  1.651e+03  
5.754e-01  7.586e-02  1.079e+03  
6.310e-01  7.586e-02  6.655e+02  
6.918e-01  7.586e-02  3.850e+02  
7.586e-01  7.586e-02  2.074e+02  
8.318e-01  7.586e-02  1.033e+02  
9.120e-01  7.586e-02  4.711e+01  
1.000e+00  7.586e-02  1.950e+01  
1.000e-04  8.318e-02  5.017e+01  
1.096e-04  8.318e-02  5.501e+01  
1.202e-04  8.318e-02  6.031e+01  
1.318e-04  8.318e-02  6.613e+01  
1.445e-04  8.318e-02  7.250e+01  
1.585e-04  8.318e-02  7.949e+01  
1.738e-04  8.318e-02  8.715e+01  
1.905e-04  8.318e-02  9.555e+01  
2.089e-04  8.318e-02  1.048e+02  
2.291e-04  8.318e-02  1.148e+02  
2.512e-04  8.318e-02  1.259e+02  
2.754e-04  8.318e-02  1.380e+02  
3.020e-04  8.318e-02  1.513e+02  
3.311e-04  8.318e-02  1.659e+02  
3.631e-04  8.318e-02  1.818e+02  
3.981e-04  8.318e-02  1.993e+02  
4.365e-04  8.318e-02  2.185e+02  
4.786e-04  8.318e-02  2.395e+02  
5.248e-04  8.318e-02  2.626e+02  
5.754e-04  8.318e-02  2.878e+02  
6.310e-04  8.318e-02  3.154e+02  
6.918e-04  8.318e-02  3.457e+02  
7.586e-04  8.318e-02  3.789e+02  
8.318e-04  8.318e-02  4.152e+02  
9.120e-04  8.318e-02  4.550e+02  
1.000e-03  8.318e-02  4.986e+02  
1.096e-03  8.318e-02  5.464e+02  
1.202e-03  8.318e-02  5.987e+02  
1.318e-03  8.318e-02  6.560e+02  
1.445e-03  8.318e-02  7.186e+02  
1.585e-03  8.318e-02  7.872e+02  
1.738e-03  8.318e-02  8.623e+02  
1.905e-03  8.318e-02  9.445e+02  
2.089e-03  8.318e-02  1.034e+03  
2.291e-03  8.318e-02  1.133e+03  
2.512e-03  8.318e-02  1.240e+03  
2.754e-03  8.318e-02  1.358e+03  
3.020e-03  8.318e-02  1.486e+03  
3.311e-03  8.318e-02  1.626e+03  
3.631e-03  8.318e-02  1.780e+03  
3.981e-03  8.318e-02  1.947e+03  
4.365e-03  8.318e-02  2.129e+03  
4.786e-03  8.318e-02  2.328e+03  
5.248e-03  8.318e-02  2.545e+03  
5.754e-03  8.318e-02  2.782e+03  
6.310e-03  8.318e-02  3.039e+03  
6.918e-03  8.318e-02  3.319e+03  
7.586e-03  8.318e-02  3.623e+03  
8.318e-03  8.318e-02  3.953e+03  
9.120e-03  8.318e-02  4.311e+03  
1.000e-02  8.318e-02  4.698e+03  
1.096e-02  8.318e-02  5.117e+03  
1.202e-02  8.318e-02  5.570e+03  
1.318e-02  8.318e-02  6.057e+03  
1.445e-02  8.318e-02  6.581e+03  
1.585e-02  8.318e-02  7.144e+03  
1.738e-02  8.318e-02  7.746e+03  
1.905e-02  8.318e-02  8.389e+03  
2.089e-02  8.318e-02  9.071e+03  
2.291e-02  8.318e-02  9.794e+03  
2.512e-02  8.318e-02  1.056e+04  
2.754e-02  8.318e-02  1.136e+04  
3.020e-02  8.318e-02  1.219e+04  
3.311e-02  8.318e-02  1.306e+04  
3.631e-02  8.318e-02  1.395e+04  
3.981e-02  8.318e-02  1.486e+04  
4.365e-02  8.318e-02  1.579e+04  
4.786e-02  8.318e-02  1.671e+04  
5.248e-02  8.318e-02  1.762e+04  
5.754e-02  8.318e-02  1.851e+04  
6.310e-02  8.318e-02  1.936e+04  
6.918e-02  8.318e-02  2.015e+04  
7.586e-02  8.318e-02  2.086e+04  
8.318e-02  8.318e-02  2.147e+04  
9.120e-02  8.318e-02  2.197e+04  
1.000e-01  8.318e-02  2.234e+04  
1.096e-01  8.318e-02  2.254e+04  
1.202e-01  8.318e-02  2.256e+04  
1.318e-01  8.318e-02  2.239e+04  
1.445e-01  8.318e-02  2.201e+04  
1.585e-01  8.318e-02  2.142e+04  
1.738e-01  8.318e-02  2.060e+04  
1.905e-01  8.318e-02  1.956e+04  
2.089e-01  8.318e-02  1.833e+04  
2.291e-01  8.318e-02  1.691e+04  
2.512e-01  8.318e-02  1.533e+04  
2.754e-01  8.318e-02  1.365e+04  
3.020e-01  8.318e-02  1.189e+04  
3.311e-01  8.318e-02  1.013e+04  
3.631e-01  8.318e-02  8.397e+03  
3.981e-01  8.318e-02  6.761e+03  
4.365e-01  8.318e-02  5.268e+03  
4.786e-01  8.318e-02  3.955e+03  
5.248e-01  8.318e-02  2.850e+03  
5.754e-01  8.318e-02  1.961e+03  
6.310e-01  8.318e-02  1.281e+03  
6.918e-01  8.318e-02  7.902e+02  
7.586e-01  8.318e-02  4.571e+02  
8.318e-01  8.318e-02  2.463e+02  
9.120e-01  8.318e-02  1.226e+02  
1.000e+00  8.318e-02  5.593e+01  
1.000e-04  9.120e-02  5.494e+01  
1.096e-04  9.120e-02  6.024e+01  
1.202e-04  9.120e-02  6.605e+01  
1.318e-04  9.120e-02  7.242e+01  
1.445e-04  9.120e-02  7.940e+01  
1.585e-04  9.120e-02  8.705e+01  
1.738e-04  9.120e-02  9.544e+01  
1.905e-04  9.120e-02  1.046e+02  
2.089e-04  9.120e-02  1.147e+02  
2.291e-04  9.120e-02  1.258e+02  
2.512e-04  9.120e-02  1.379e+02  
2.754e-04  9.120e-02  1.512e+02  
3.020e-04  9.120e-02  1.657e+02  
3.311e-04  9.120e-02  1.817e+02  
3.631e-04  9.120e-02  1.992e+02  
3.981e-04  9.120e-02  2.184e+02  
4.365e-04  9.120e-02  2.394e+02  
4.786e-04  9.120e-02  2.624e+02  
5.248e-04  9.120e-02  2.876e+02  
5.754e-04  9.120e-02  3.153e+02  
6.310e-04  9.120e-02  3.456e+02  
6.918e-04  9.120e-02  3.787e+02  
7.586e-04  9.120e-02  4.151e+02  
8.318e-04  9.120e-02  4.550e+02  
9.120e-04  9.120e-02  4.986e+02  
1.000e-03  9.120e-02  5.464e+02  
1.096e-03  9.120e-02  5.987e+02  
1.202e-03  9.120e-02  6.561e+02  
1.318e-03  9.120e-02  7.189e+02  
1.445e-03  9.120e-02  7.876e+02  
1.585e-03  9.120e-02  8.629e+02  
1.738e-03  9.120e-02  9.453e+02  
1.905e-03  9.120e-02  1.035e+03  
2.089e-03  9.120e-02  1.134e+03  
2.291e-03  9.120e-02  1.242e+03  
2.512e-03  9.120e-02  1.360e+03  
2.754e-03  9.120e-02  1.489e+03  
3.020e-03  9.120e-02  1.630e+03  
3.311e-03  9.120e-02  1.784e+03  
3.631e-03  9.120e-02  1.953e+03  
3.981e-03  9.120e-02  2.137e+03  
4.365e-03  9.120e-02  2.338e+03  
4.786e-03  9.120e-02  2.557e+03  
5.248e-03  9.120e-02  2.796e+03  
5.754e-03  9.120e-02  3.056e+03  
6.310e-03  9.120e-02  3.340e+03  
6.918e-03  9.120e-02  3.649e+03  
7.586e-03  9.120e-02  3.985e+03  
8.318e-03  9.120e-02  4.349e+03  
9.120e-03  9.120e-02  4.745e+03  
1.000e-02  9.120e-02  5.175e+03  
1.096e-02  9.120e-02  5.640e+03  
